Atom,Shell,l,k,n_lk,Z_lk,c_2p,c_3p,c_4p,c_5p
Xe,p,1,1,2,58.7712,0.051242,0.000264,0.013769,-0.005879
Xe,p,1,2,2,22.6065,0.78107,0.622357,-0.426955,0.14904
Xe,p,1,3,3,48.9702,0.11491,-0.009861,0.045088,-0.018716
Xe,p,1,4,3,13.4997,-0.000731,-0.952677,0.748434,-0.266839
Xe,p,1,5,3,9.8328,0.000458,-0.3379,0.13285,-0.031096
Xe,p,1,6,4,40.2591,0.083993,-0.02634,0.059406,-0.0241
Xe,p,1,7,4,7.1841,-0.000265,-0.000384,-0.679569,0.267374
Xe,p,1,8,4,5.1284,3.4e-05,-0.001665,-0.503653,0.16146
Xe,p,1,9,5,21.533,0.009061,0.087491,-0.149635,0.059721
Xe,p,1,10,5,3.4469,-1.4e-05,0.00024,-0.014193,-0.428353
Xe,p,1,11,5,2.2384,6e-06,-8.3e-05,0.000528,-0.542284
Xe,p,1,12,5,1.14588,-2e-06,2.6e-05,-0.000221,-0.201667
